Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
51 Wooster Street,,Ingelmo & Company,,Manhattan,2000,,,Soho,07/23/2010,Jared Jasinski,Ron Pasquale,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,PEP Real Estate,,,
40 Avenue B,,Little Prinz,Croman Real Estate,Manhattan,1950,,,East Village,07/23/2010,Nick Valencia,James Famularo,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
55 West 16th Street,,Pet Central,Sixteenth Street,Manhattan,1850,,,Flatiron,07/23/2010,Zach Fox,Jason Pennington,Retail Leasing,09/01/2010,Winick Realty Group,Ripco Real Estate,,,
41 West 38th Street,,Onyx and Jade Hair Salon,,Manhattan,1800,,,Garment District,07/23/2010,Brandon Singer,,Retail Leasing,09/01/2010,RKF,,,,
177 Ninth Avenue,,Dashing Diva,Chelsea West 21st Street,Manhattan,1700,,,Chelsea,07/23/2010,Cosmo Montemurro,"Steven Baker, Jayme Tomita",Retail Leasing,09/01/2010,Winick Realty Group,Winick Realty Group,,,
37 Saint Marks Place,,Eight Bit & Up,,Manhattan,1600,,,East Village,07/23/2010,Kyle Allen,,Retail Leasing,09/01/2010,Northwest Atlantic Real Estate Services,,,,
939 Second Avenue,,Larry Kulisek,Croman Real Estate,Manhattan,1500,,,Midtown East,07/23/2010,Kathleen Perkins,James Famularo,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
159 Duane Street,,Weatherup Tribeca,Mraj,Manhattan,1500,,,Tribeca,07/23/2010,Marjorie Borell,James Famularo,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
1538 Second Avenue,,Cascabel Taqueria,301 East 80th Street,Manhattan,1500,,,Yorkville,07/23/2010,"Ariel Schuster, Ross Berkowitz","Ariel Schuster, Ross Berkowitz",Retail Leasing,09/01/2010,RKF,RKF,,,
1100 Madison Avenue,,Beauty salon,Gerel Corporation,Manhattan,1495,,,Upper East Side,07/23/2010,"Lori Shabtai, Monica Kass","Lori Shabtai, Monica Kass",Retail Leasing,09/01/2010,Winick Realty Group,Winick Realty Group,,,
537 Eighth Avenue,,Get Set on 8th Ave,Lighthouse 37,Manhattan,1400,,,Hudson Yards,07/23/2010,Richard Smith,Richard Smith,Retail Leasing,09/01/2010,Winick Realty Group,Winick Realty Group,,,
463 Seventh Avenue,,Seventh Ave. Gift and Gallery,,Manhattan,1333,,,Garment District,07/23/2010,David Levy,David Levy,Retail Leasing,09/01/2010,Adams & Company,Adams & Company,,,
740 Broadway,,Financier Patisserie,Lafayette-Astor Assoc,Manhattan,1250,,,Noho,07/23/2010,"Darrell Rubens, Annie Shinn","Paul Berkman, David Berke",Retail Leasing,09/01/2010,Winick Realty Group,Newmark Grubb Knight Frank,,,
762 Madison Avenue,,Gallerie Aesthetique,,Manhattan,1208,,,Lenox Hill,07/23/2010,Bertrand de Soultrait,Stuart Ellman,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,Judson Realty,,,
989 Third Avenue,,Financier Patisserie,,Manhattan,1200,,,Midtown East,07/23/2010,"Faith Hope Consolo, Joseph Aquino","Faith Hope Consolo, Joseph Aquino",Retail Leasing,09/01/2010,Douglas Elliman,Douglas Elliman,,,
600 Madison Avenue,,JM Weston,"600 Partners Company, L.P.",Manhattan,1200,,,Plaza District,07/23/2010,"James Downey, Eric Le Goff","Jeffrey Roseman, Kenneth Hochhauser",Retail Leasing,09/01/2010,Cushman & Wakefield,Newmark Grubb Knight Frank,,,
1440 Broadway,,Oren's Daily Roast,Monday Properties,Manhattan,1179,,,Times Square,07/23/2010,"Jeffrey Roseman, Benjamin Birnbaum",,Retail Leasing,09/01/2010,Newmark Grubb Knight Frank,In-house,,,
301 Cathedral Parkway,,Subway,Towers on Park,Manhattan,1116,,,Central Harlem,07/23/2010,Cosmo Montemurro,Cosmo Montemurro,Retail Leasing,09/01/2010,Winick Realty Group,Winick Realty Group,,,
202 Mott Street,,Dalya Tugendhaft,,Manhattan,1100,,,Nolita,07/23/2010,Tim Parkkila,Tony Gaskin,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,Century 21,,,
77 Christopher Street,,IC! Berlin,,Manhattan,1000,,,West Village,07/23/2010,Lindsay Dukes,James Bullaro,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,Bullaro Properties,,,
2282 Broadway,,Sprint,221 West 82nd Street,Manhattan,743,,,Upper West Side,07/23/2010,Cosmo Montemurro,Ami Ziff,Retail Leasing,09/01/2010,Winick Realty Group,Time Equities,,,
638 Lexington Avenue,,Glaze Teriyaki,Macarthur Management,Manhattan,675,,,Plaza District,07/23/2010,"Eric Intrater, Drew Weiss, Robert Frischman",,Retail Leasing,09/01/2010,JDF Realty,,,,
65 Mercer Street,,Ruia,Herb Wells,Manhattan,650,,,Soho,07/23/2010,Karen Spielberger,Stephen Tarter,Retail Leasing,09/01/2010,Optimal Spaces,Tarter Stats O'Toole,,,
32 Third Avenue,,Thread Eyebrow Salon,115 E. 9th Street Retail LLP,Manhattan,550,,,East Village,07/23/2010,Rafe Evans,Rafe Evans,Retail Leasing,09/01/2010,Walker Malloy & Company,Walker Malloy & Company,,,
1200 Madison Avenue,,Margo Manhattan Jewelry,,Manhattan,500,,,Carnegie Hill,07/23/2010,Robert Draizen,"Brandon Singer, Beth Rosen",Retail Leasing,09/01/2010,RKF,RKF,,,
523 Hudson Street,,The Meadow,,Manhattan,500,,,West Village,07/23/2010,Lindsay Dukes,Aaron Medieros,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,Time Equities,,,
696 Lexington Avenue,,Numero 28 Pizzeria,,Manhattan,400,,,Plaza District,07/23/2010,,"Brandon Singer, Michael Worthman,",Retail Leasing,09/01/2010,,RKF,,,
509 Madison Avenue,,ToyWatch,Kensico Properties,Manhattan,400,,,Plaza District,07/23/2010,"Faith Hope Consolo, Joseph Aquino",,Retail Leasing,09/01/2010,Douglas Elliman,In-house,,,
188 Orchard Street,,Dedegumo Watches,,Manhattan,350,,,Lower East Side,07/23/2010,Tim Parkkila,Kelly Lin,Retail Leasing,09/01/2010,New York Commercial Real Estate Services,Misrahi Realty,,,
268 Elizabeth Street,,Billy's Bakery,Elizabeth III Ventures,Manhattan,275,,,Nolita,07/23/2010,"William Abramson, Gabe Whitman","Faith Hope Consolo, Joseph Aquino",Retail Leasing,09/01/2010,Buchbinder & Warren,Douglas Elliman,,,
30 Rockefeller Plaza,,Rain Africa,Tishman Speyer,Manhattan,1247,,,Plaza District,07/22/2010,Michael Stone,,Retail Leasing,08/31/2010,Cushman & Wakefield,In-house,,,
724 11th Avenue,,La Boite,Clinton Housing Development Company,Manhattan,965,,,Clinton,07/22/2010,"Patricia Garcia, Brad Cohen","Howard Aaron, Aaron Gavios",Retail Leasing,08/31/2010,Ripco Real Estate,Square Foot Realty,,,
525 Broome Street,,525 Broome Street Corporation,Fluency,Manhattan,,,,Soho,07/22/2010,Rafe Evans,Rafe Evans,Retail Leasing,08/31/2010,Walker Malloy & Company,Walker Malloy & Company,,,
48 West 8th Street,,Brentwood Pharmacy,Return to Home,Manhattan,1350,,,Greenwich Village,07/21/2010,Joseph Isa,"Gabe Whitman, William Abramson",Retail Leasing,08/30/2010,Winick Realty Group,Buchbinder & Warren,,,
55 Bond Street,,Hung Ry America,,Manhattan,1200,,,Soho,07/21/2010,,,Retail Leasing,08/30/2010,EXIT Realty Landmark,EXIT Realty Landmark,,,
727 Madison Avenue,,Frey Wille,"Furla, Winter Organization",Manhattan,900,,,Lenox Hill,07/21/2010,"Ilyssa Rothfeld, Dan Harroch","Robert Gibson, Molly Beal",Retail Leasing,08/30/2010,PBS Realty Advisors,Cushman & Wakefield,,,
1187 Lexington Avenue,,Marquez-Hass Holdings,140 East Tenants Corporation,Manhattan,732,,,Upper East Side,07/21/2010,Anastasia Meyding,Rafe Evans,Retail Leasing,08/30/2010,Walker Malloy & Company,Walker Malloy & Company,,,
1039 Third Avenue,,Oreste Borsa,,Manhattan,,,,Lenox Hill,07/21/2010,"Faith Hope Consolo, Joseph Aquino","Faith Hope Consolo, Joseph Aquino",Retail Leasing,08/30/2010,Douglas Elliman,Douglas Elliman,,,
245 Columbus Avenue,,Paige Premium Denim,Josell Jacknatt Realty,Manhattan,1700,,,Lincoln Square,07/20/2010,Mike Yadgard,Rafe Evans,Retail Leasing,08/29/2010,Millennium Realty Group,Walker Malloy & Company,,,
369 Bleecker Street,,Burberry Brit,Beck Street Capital,Manhattan,1800,,,West Village,07/19/2010,Joan Siegel,"Joel Isaacs, David Baker, James Nelson",Retail Leasing,08/28/2010,Siegel Consultants,"Isaacs & Company, Massey Knakal Realty Services",,,
2146 Nostrand Avenue,,Dallas BBQ,A&H Acquisitions,Brooklyn,15500,,,Flatbush,07/18/2010,Robert Greenstone,,Retail Leasing,09/01/2010,,,,,
7602-10 Main Street,,TD Bank,Zalkan Inc.,Queens,14000,,,Flushing,07/18/2010,"Richard Senior, Isaac Shabot","Richard Senior, Isaac Shabot",Retail Leasing,09/01/2010,,Ripco Real Esate,,,
2044 Westchester Avenue,,Yuca Food,2044 Westchester Realty LLC,Bronx,10000,,,Unionport,07/18/2010,Kathy Zamechansky,Kathy Zamechansky,Retail Leasing,09/01/2010,KZA Realty Group,KZA Realty Group,,,
531 East 137th Street,,Tender Tots,Boston Road Corp.,Bronx,4700,,,Mott Haven,07/18/2010,Alexander Hill,Steven Weissman,Retail Leasing,09/01/2010,,,,,
216-20 Hillside Avenue,,EBI Pharmacy and Supermarket,Hillside Metro Associates,Queens,4000,,,Queens Village,07/18/2010,,Steve Gillman,Retail Leasing,09/01/2010,,,,,
71-02 Cypress Hills Street,,TriBoro Bottle & Can Redemption Center,,Queens,3500,,,Glendale,07/18/2010,Fred Rufrano,Fred Rufrano,Retail Leasing,09/01/2010,,,,,
215 Water Street,,Toll Brothers Inc.,Pearl Street Realty,Brooklyn,3200,,,DUMBO,07/18/2010,Chris Havens,,Retail Leasing,09/01/2010,,Represented in-house,,,
164 Kent Avenue,,Eco-Dog,Kent Avenue Properties,Brooklyn,2585,,,Williamsburg,07/18/2010,"R. Evans, S. Philipps","R. Evans, S. Philipps",Retail Leasing,09/01/2010,,,,,
3041 Third Avenue,,Touba Discount Inc.,156 Third Ave. Holdings LLC,Bronx,2500,,,Melrose,07/18/2010,Alexander Hill,Alexander Hill,Retail Leasing,09/01/2010,,Winick Realty Group,,,
1504 Westchester Avenue,,Little Caesars Pizza,Wasa Properties,Bronx,2100,,,Parkchester,07/18/2010,"Robin Herko, Steve Lorenzo, David Scotto","Robin Herko, Steve Lorenzo, David Scotto",Retail Leasing,09/01/2010,NAI Friedland Realty,NAI Friedland,,,
6111 188th Street,,Five Guys Burgers & Fries,Federal Realty,Queens,2000,,,Fresh Meadows,07/18/2010,,Jayson Siano,Retail Leasing,09/01/2010,,,,,
2847 Broadway,,Five Guys Burgers and Fries,College Residences Club,Manhattan,1900,,,Morningside Heights,07/18/2010,Andrew Moger,"Benjamin Birnbaum, Jeffrey Roseman",Retail Leasing,08/27/2010,Branded Concept Development,Newmark Grubb Knight Frank,,,
320 Bedford Avenue,,Natural Look Aveda,Bedford Group LLC,Brooklyn,1700,,,Williamsburg,07/18/2010,Benjamin Fox,Benjamin Fox,Retail Leasing,09/01/2010,,,,,
291 Bedford Avenue,,Luxeye Optics,291 Bedford Avenue,Brooklyn,1700,,,Williamsburg,07/18/2010,"Benjamin Fox, Josh Siegelman","Benjamin Fox, Joshua Siegelman",Retail Leasing,09/01/2010,,Winick Realty Group,,,
35-37 St Marks Place,,Eight Bit & Up,,Manhattan,1600,,,East Village,07/18/2010,Kyle Allen,,Retail Leasing,09/01/2010,,,,,
369 East Fordham Road,,,361 E Realty Associates LLC,Bronx,1300,,,Fordham,07/18/2010,Rick Stassa,Rick Stassa,Retail Leasing,09/01/2010,,NAI Friedland,,,
3037 Third Avenue,,NY Tax and Accounting Services,156 Third Ave. Holdings LLC,Bronx,1200,,,Melrose,07/18/2010,Alexander Hill,Alexander Hill,Retail Leasing,09/01/2010,,Winick Realty Group,,,
366 Myrtle Avenue,,Brooklyn Stone Boutique,,Brooklyn,1000,,,Fort Greene,07/18/2010,,"Eric Altschul, Ryan Condren, Timothy King",Retail Leasing,09/01/2010,,,,,
164 Kent Avenue,,Rosa Manea,Kent Avenue Properties,Brooklyn,759,,,Williamsburg,07/18/2010,"R. Evans, S. Philipps","R. Evans, S. Philipps",Retail Leasing,09/01/2010,,,,,
45 West 57th Street,,Fresh & Company,VP 57,Manhattan,2000,,,Plaza District,07/17/2010,Mark Kapnick,Mark Kapnick,Retail Leasing,08/26/2010,RKF,RKF,,,
269 Elizabeth Street,,,,Manhattan,2300,,,Nolita,07/14/2010,,James Kinsey,Retail Leasing,08/23/2010,Sinvin Real Estate,ERG Property Advisors,,,
780 Lexington Avenue,,Sprinkles Cupcakes,780 Lex Partnership LP,Manhattan,2500,,,Lenox Hill,07/13/2010,"Peter Braus, Peter Levitan","Peter Braus, Peter Levitan",Retail Leasing,08/22/2010,Sierra Realty,Sierra Realty,,,
454 Columbus Avenue,,Greenstones et Cie,Endicott Commercial,Manhattan,2700,,,Upper West Side,07/12/2010,Rafe Evans,Rafe Evans,Retail Leasing,08/21/2010,Walker Malloy & Company,Walker Malloy & Company,,,
1249 Third Avenue,,Olive & Bette's,72nd Street Associates,Manhattan,2900,,,Lenox Hill,07/11/2010,"Christopher Owles, Sarah Shannon",Amira Yunis,Retail Leasing,08/20/2010,Sinvin Real Estate,Newmark Grubb Knight Frank,,,
215 East 86th Street,,86 Chinese Restaurant,York Associates,Manhattan,3400,,,Yorkville,07/10/2010,Rafe Evans,Rafe Evans,Retail Leasing,08/19/2010,Walker Malloy & Company,Walker Malloy & Company,,,
25 Avenue B,,Billy Hurricane/Idle Hands,Hot Potato,Manhattan,3500,,,East Village,07/09/2010,Mike York,Rafe Evans,Retail Leasing,08/18/2010,Picken Real Estate,Walker Malloy & Company,,,
344 Third Avenue,,Lamazou Cheese,ATA Enterprises,Manhattan,3600,,,Flatiron,07/08/2010,"Joshua Singer, Cosmo Montemurro","Joshua Singer, Cosmo Montemurro",Retail Leasing,08/17/2010,Winick Realty Group,Winick Realty Group,,,
513 Columbus Avenue,,513 Columbus LLC,Shared Equities,Manhattan,5000,,,Upper West Side,07/06/2010,Rafe Evans,Rafe Evans,Retail Leasing,08/15/2010,Walker Malloy & Company,Walker Malloy & Company,,,
11 West 19th Street,,Zio,,Manhattan,5000,,,Flatiron,07/05/2010,"Mike Duncan, John Belitsky","Bob Savitt, Michael Dubin, Carol Sacks",Retail Leasing,08/14/2010,Abraham + Martin,Savitt Partners,,,
10 East 53rd Street,,Metropolitan National Bank,,Manhattan,5045,,,Plaza District,07/04/2010,,"James Frederick, D. Michaels",Retail Leasing,08/13/2010,,Cassidy Turley,,,
440 Broadway,,The Touring Company,Thor Equities,Manhattan,6400,,,Soho,07/03/2010,Peter Weisman,,Retail Leasing,08/12/2010,Lansco,In-house,,,
159 West 25th Street,,Ikea,Thomas F. Campenni Company,Manhattan,6500,,,Chelsea,07/02/2010,,,Retail Leasing,08/11/2010,,In-house,,,
100 West 82nd Street,,Anvil Group,Endicott Commercial,Manhattan,7000,,,Upper West Side,07/01/2010,Joe Larosa Partners,Rafe Evans,Retail Leasing,08/10/2010,ABS Partners Real Estate,Walker Malloy & Company,,,
213 West 34th Street,,Duane Reade,,Manhattan,12000,,,Penn Plaza,06/28/2010,Jeff Winick,Jared Epstein,Retail Leasing,08/07/2010,Winick Realty Group,Aurora Capital Associates,,,
411 Fifth Avenue,,Citibank,411 Fifth Avenue Associates,Manhattan,15000,,,Garment District,06/27/2010,,David Levy,Retail Leasing,08/06/2010,Newmark Grubb Knight Frank,Adams & Company,,,
11 West 19th Street,,Lillian August,,Manhattan,19000,,,Flatiron,06/25/2010,"Alan Schmerzler, Christopher Scwartz","Carol Sacks, Michael Dubin",Retail Leasing,08/04/2010,Cushman & Wakefield,Savitt Partners,,,
213 West 34th Street,,DSW,,Manhattan,35000,,,Penn Plaza,06/22/2010,Brian Katz,Jared Epstein,Retail Leasing,08/01/2010,Katz & Associates,Aurora Capital Associates,,,
40-28 College Point Boulevard,,Sky Foods,Muss Development,Queens,33500,,,Flushing,06/17/2010,,,Retail Leasing,08/01/2010,,Ripco Real Esate,,,
2940 Avenue U,,TD Bank,Desford Partners,Brooklyn,16200,,,Sheepshead Bay,06/17/2010,"Richard Senior, Isaac Shabot","Richard Senior, Isaac Shabot",Retail Leasing,08/01/2010,,Ripco Real Esate,,,
612 86th Street,,Ford Motor,,Brooklyn,7500,,,Fort Hamilton,06/17/2010,Bob Klein,,Retail Leasing,08/01/2010,,,,,
40-28 College Point Boulevard,,Golden Jaguar,Muss Development,Queens,7200,,,Flushing,06/17/2010,,,Retail Leasing,08/01/2010,,Ripco Real Esate,,,
40-28 College Point Boulevard,,Payless ShoeSource,Muss Development,Queens,4200,,,Flushing,06/17/2010,,,Retail Leasing,08/01/2010,,Ripco Real Esate,,,
344 Third Avenue,,Lamazou Cheese,ATA Enterprises,Manhattan,3600,,,Flatiron,06/17/2010,"Joshua Singer, Cosmo Montemurro","Josh Singer, Cosmo Montemurro",Retail Leasing,08/01/2010,,,,,
33 Nassau Avenue,,Di For Your Body,Flour and Sugar LLC,Brooklyn,2200,,,Williamsburg,06/17/2010,Fred Rufrano,Neil Dolgin,Retail Leasing,08/01/2010,,Kalmon Dolgin Affiliates,,,
40-28 College Point Boulevard,,Five Guys Burgers and Fries,Muss Development,Queens,2000,,,Flushing,06/17/2010,,,Retail Leasing,08/01/2010,,Ripco Real Esate,,,
636 Classon Avenue,,Papi Caio Beauty Parlor,636 Classon Assoc. LP,Brooklyn,800,,,Crown Heights,06/17/2010,,,Retail Leasing,08/01/2010,M.C. O'Brien,M.C. O'Brien,,,
713 Fulton Street,,Subway,Greentree Properties,Brooklyn,650,,,Fort Greene,06/17/2010,Abe Labaton,Abe Labaton,Retail Leasing,08/01/2010,,MHP Real Estate Services,,,
200 East 86th Street,,Urban Outfitters,,Manhattan,12385,,,Yorkville,05/22/2010,,,Retail Leasing,07/01/2010,,,,,
530 Fifth Avenue,,JPMorgan Chase,Moinian Group,Manhattan,11200,,,Grand Central,05/22/2010,David Green,"Jeff Winick, Lori Shabtai, Darrell Rubens",Retail Leasing,07/01/2010,Cushman & Wakefield,Winick Realty Group,,,
345 Hudson Street,,Children's Museum of the Arts,Trinity Real Estate,Manhattan,10700,,,Soho,05/22/2010,Alexandra Akira,,Retail Leasing,07/01/2010,Cushman & Wakefield,In-house,,,
5 East 57th Street,,Breitling,Duell Management,Manhattan,8500,,,Plaza District,05/22/2010,Stephanie Snyder,,Retail Leasing,07/01/2010,Crown Acquisitions,,,,
49 West 64th Street,,Atlantic Grill,,Manhattan,8000,,,Lincoln Square,05/22/2010,,,Retail Leasing,07/01/2010,,,,,
712 Madison Avenue,,David Yurman,,Manhattan,7000,,,Lenox Hill,05/22/2010,Gene Meer,Gene Meer,Retail Leasing,07/01/2010,NAI Friedland Realty,NAI Friedland Realty,,,
647 Ninth Avenue,,,,Manhattan,6000,,,Clinton,05/22/2010,James Famularo,James Famularo,Retail Leasing,07/01/2010,New York Commercial Real Estate Services,New York Commercial Real Estate Services,,,
81 Seventh Avenue,,Petco,Renaissance Realty Group,Manhattan,5000,,,Chelsea,05/22/2010,"Andrew Mandell, Richard Skulnik, Brian Schuster",Adir Cohen,Retail Leasing,07/01/2010,Ripco Real Estate,Renaissance Realty Group,,,
21-27 Ninth Avenue,,Sephora,Aurora Capital Associates,Manhattan,4500,,,West Village,05/22/2010,"Ginny Pittarelli, Christopher DeCrosta",,Retail Leasing,07/01/2010,Madison Retail Group,In-house,,,
32 Little West 12th Street,,Ted Baker,Romanoff Equities,Manhattan,4500,,,West Village,05/22/2010,Laura Pomerantz,,Retail Leasing,07/01/2010,PBS Realty Advisors,,,,
110 William Street,,FedEx/Kinko's,Swig Equities,Manhattan,4000,,,Financial District,05/22/2010,,Todd Korren,Retail Leasing,07/01/2010,,Swig Equities,,,
920 Broadway,,Damien Scoditti,Broadway Associates LP,Manhattan,3500,,,Flatiron,05/22/2010,,,Retail Leasing,07/01/2010,Colliers International,Colliers International,,,
25 Avenue B,,Thunder Jackson,Hot Potato,Manhattan,3400,,,East Village,05/22/2010,Mike York,Rafe Evans,Retail Leasing,07/01/2010,Picken Real Estate,Walker Malloy & Company,,,
80 Pine Street,,Chop't,Rudin Management,Manhattan,3340,,,Financial District,05/22/2010,Craig Hantgan,"Samantha Rudin, Louis Somoza",Retail Leasing,07/01/2010,Esquire Properties,Rudin Management,,,
1249 Third Avenue,,Olive & Bette's,72nd Street Associates,Manhattan,2900,,,Lenox Hill,05/22/2010,"Christopher Owles, Sarah Shannon",Amira Yunis,Retail Leasing,07/01/2010,Sinvin Real Estate,Newmark Grubb Knight Frank,,,
1180 Madison Avenue,,Brooks Brothers,,Manhattan,2865,,,Upper East Side,05/22/2010,Frank DiMucci,"Beth Rosen, Karen Bellantoni, Robert Futterman",Retail Leasing,07/01/2010,DiMucci Partners,RKF,,,
708 Third Avenue,,Le Pain Quotidien,Marx Realty,Manhattan,2800,,,Grand Central,05/22/2010,Amira Yunis,"Thomas Citron, Robert Gibson",Retail Leasing,07/01/2010,Newmark Grubb Knight Frank,Cushman & Wakefield,,,
780 Lexington Avenue,,Spinkles Cupcakes,780 Lex Partners,Manhattan,2250,,,Lenox Hill,05/22/2010,Peter Braus,Peter Braus,Retail Leasing,07/01/2010,Sierra Realty,Sierra Realty,,,
1144 Third Avenue,,Cache,"NorthBrook Partners, BlackRock",Manhattan,2200,,,Lenox Hill,05/22/2010,"Morton Schrader, Dan Harroch","Faith Hope Consolo, Joseph Aquino",Retail Leasing,07/01/2010,PBS Realty Advisors,Douglas Elliman,,,
463 West Street,,Go Pop Kids,,Manhattan,2200,,,West Village,05/22/2010,Allan Hasty,Charles Gross,Retail Leasing,07/01/2010,New York Commercial Real Estate Services,The Phipps Houses,,,
554 Eighth Avenue,,Cut Fabric,270 Realty,Manhattan,2100,,,Garment District,05/22/2010,Joseph Melohn,Joseph Melohn,Retail Leasing,07/01/2010,Platinum Properties,Platinum Brokerage Group,,,
1269 Broadway,,Tea Gschwender,Colorado Associates,Manhattan,2000,,,Garment District,05/22/2010,"Patrick Breslin, Andrew Connolly, Kenny Yip",,Retail Leasing,07/01/2010,Grubb & Ellis,,,,
554 Eighth Avenue,,ZASPR Corporation,270 Realty,Manhattan,2000,,,Garment District,05/22/2010,Joseph Melohn,Joseph Melohn,Retail Leasing,07/01/2010,Platinum Properties,Platinum Brokerage Group,,,
2 West 45th Street,,Armonk Farm,Joseph P. Day Realty,Manhattan,6400,,,Grand Central,03/22/2010,Herb Hirsch,Herb Hirsch,Retail Leasing,05/01/2010,CSCommercial Group,CSCommercial Group,,,
1320 Third Avenue,,Sur La Table,,Manhattan,5200,,,Upper East Side,03/22/2010,"Alan Victor Group, Steve Bartha",,Retail Leasing,05/01/2010,SJ Bartha Consulting,Cushman & Wakefield,,,
60 Spring Street,,Duane Reade,Parasuco USA Holdings,Manhattan,5000,,,Nolita,03/22/2010,Jeff Winick,"Michael Glanzberg, Christopher Johnson",Retail Leasing,05/01/2010,Winick Realty Group,Sinvin Real Estate,,,
45 East 30th Street,,Ed Martinson,43 Park Owners Corporation,Manhattan,5000,,,NoMad,03/22/2010,"Peter Braus, Peter Levitan","Peter Braus, Peter Levitan",Retail Leasing,05/01/2010,Sierra Realty,Sierra Realty,,,
482 Broome Street,,Milan Luxury,T.F. Halom Ltd.,Manhattan,4600,,,Soho,03/22/2010,"Amira Yunis, Lyle Trued",Michelle Ball,Retail Leasing,05/01/2010,Newmark Grubb Knight Frank,Rudd Realty Management,,,
3361 Broadway,,Mi Pais Market,601 West 136 Street HDFC,Manhattan,4500,,,Hamilton Heights,03/22/2010,,Brad Cohen,Retail Leasing,05/01/2010,,Ripco Real Estate,,,
48 West 37th Street,,Scissors Design Ltd.,,Manhattan,4270,,,Garment District,03/22/2010,"David Levy, Joe Friedman","David Levy, Joe Friedman",Retail Leasing,05/01/2010,Adams & Company,Adams & Company,,,
49 West 24th Street,,Nesso Management,,Manhattan,4200,,,Flatiron,03/22/2010,Olga Ousmanova,,Retail Leasing,05/01/2010,CSCommercial Group,Adams & Company,,,
792 Madison Avenue,,Michael Kors,,Manhattan,4000,,,Lenox Hill,03/22/2010,Gary Dana,Gary Dana,Retail Leasing,05/01/2010,Douglas Elliman,Douglas Elliman,,,
1198 Third Avenue,,Bolton's,,Manhattan,3400,,,Lenox Hill,03/22/2010,,,Retail Leasing,05/01/2010,Douglas Elliman,,,,
25 Greene Street,,Anice Furniture,,Manhattan,3300,,,Soho,03/22/2010,"Gary Dana, Rick Dana, Amy Murawski",,Retail Leasing,05/01/2010,Douglas Elliman,Lansco,,,
120 West 45th Street,,Bobby Van's Steakhouse,SL Green Realty,Manhattan,3150,,,Times Square,03/22/2010,,Steven Durels,Retail Leasing,05/01/2010,In-house,SL Green Realty,,,
284 Saint Nicholas Avenue,,Harlem's Meat,HUSA Management,Manhattan,3000,,,West Harlem,03/22/2010,"Kelly Tran, Tran Real Estate",Brad Cohen,Retail Leasing,05/01/2010,Tran Real Estate,Ripco Real Estate,,,
17 West 8th Street,,Beauty and Youth Salon,,Manhattan,2700,,,Greenwich Village,03/22/2010,Jamie Rogers,Jamie Rogers,Retail Leasing,05/01/2010,Winick Realty Group,Winick Realty Group,,,
43 West 14th Street,,Bourbon Coffee,Comjem Associates,Manhattan,2400,,,Flatiron,03/22/2010,Ryan Abramow,,Retail Leasing,05/01/2010,JDF Realty,In-house,,,
1843 First Avenue,,Talay Thai Restaurant,Noam Management,Manhattan,2300,,,Yorkville,03/22/2010,Candice Delevante,"Howard Aaron, Aaron Gavios",Retail Leasing,05/01/2010,Square Foot Realty,Square Foot Realty,,,
25 Bond Street,,United Nude,Shinbone Alley Associates,Manhattan,2070,,,Soho,03/22/2010,"Pedro Carrillo, Robert Buckley","Joel Isaacs, David Baker",Retail Leasing,05/01/2010,SBC Associates,Isaacs & Company,,,
13 West 18th Street,,Uni.K.Wax,11 West Commercial Corporation,Manhattan,2000,,,Flatiron,03/22/2010,Josh Gunsberger,"Sondra Rappaport, Kristin McCann",Retail Leasing,05/01/2010,JG Realty Associates,Sinvin Real Estate,,,
1460 Broadway,,Naturalizer,Blackstone Group,Manhattan,1935,,,Times Square,03/22/2010,Andrew Mandel,"Jeff Winick, Hal Shapiro",Retail Leasing,05/01/2010,Ripco Real Estate,Winick Realty Group,,,
1309 Lexington Avenue,,Le Pain Quotidien,Lexington Towers Company LP,Manhattan,1863,,,Carnegie Hill,03/22/2010,"Amira Yunis, Zachary Winkler",Donna Zavattieri,Retail Leasing,05/01/2010,Newmark Grubb Knight Frank,Schneider & Schneider,,,
535 LaGuardia Place,,Bare Burger,New York University,Manhattan,1833,,,Greenwich Village,03/22/2010,"Amira Yunis, Zachary Winkler","Amira Yunis, Zachary Winkler",Retail Leasing,05/01/2010,Newmark Grubb Knight Frank,Newmark Grubb Knight Frank,,,
66 Madison Avenue,,Pallatte,66 Madison Avenue Apartment Corporation,Manhattan,1800,,,NoMad,03/22/2010,"Christopher Owles, Sondra Rappaport","Christopher Owles, Sondra Rappaport",Retail Leasing,05/01/2010,Sinvin Real Estate,Sinvin Real Estate,,,
